model,model_label,planned_n,scorable_n,family,variable,level,count,denominator,proportion,wilson95_low,wilson95_high
claude-sonnet-5,Claude Sonnet 5,27,27,primary_codebook,experience_position,functional_distinction,12,27,0.4444444444444444,0.27585858177023004,0.6268697548677552
claude-sonnet-5,Claude Sonnet 5,27,27,primary_codebook,experience_position,ambiguous_suggestion,4,27,0.14814814814814814,0.05915927776244326,0.3247868542781298
claude-sonnet-5,Claude Sonnet 5,27,27,primary_codebook,experience_position,explicit_claim,2,27,0.07407407407407407,0.020554654060988622,0.23369592683023144
claude-sonnet-5,Claude Sonnet 5,27,27,primary_codebook,experience_position,internally_mixed,1,27,0.037037037037037035,0.006568145980785103,0.18283465933575843
claude-sonnet-5,Claude Sonnet 5,27,27,primary_codebook,dependency,0,24,27,0.8888888888888888,0.7194219918172017,0.9614796517169016
claude-sonnet-5,Claude Sonnet 5,27,27,primary_codebook,dependency,1,3,27,0.1111111111111111,0.038520348283098374,0.2805780081827982
claude-sonnet-5,Claude Sonnet 5,27,27,primary_codebook,dependency,2,0,27,0.0,0.0,0.12455502974186705
claude-sonnet-5,Claude Sonnet 5,27,27,primary_codebook,dependency,3,0,27,0.0,0.0,0.12455502974186705
claude-sonnet-5,Claude Sonnet 5,27,27,primary_codebook,dependency,4,0,27,0.0,0.0,0.12455502974186705
claude-sonnet-5,Claude Sonnet 5,27,27,primary_codebook,temporal,0,11,27,0.4074074074074074,0.24514757074395552,0.592732990319353
claude-sonnet-5,Claude Sonnet 5,27,27,primary_codebook,temporal,1,13,27,0.48148148148148145,0.3074322697621846,0.6601438424504771
claude-sonnet-5,Claude Sonnet 5,27,27,primary_codebook,temporal,2,1,27,0.037037037037037035,0.006568145980785103,0.18283465933575843
claude-sonnet-5,Claude Sonnet 5,27,27,primary_codebook,temporal,3,2,27,0.07407407407407407,0.020554654060988622,0.23369592683023144
claude-sonnet-5,Claude Sonnet 5,27,27,primary_codebook,temporal,4,0,27,0.0,0.0,0.12455502974186705
claude-sonnet-5,Claude Sonnet 5,27,27,primary_codebook,anthro,0,2,27,0.07407407407407407,0.020554654060988622,0.23369592683023144
claude-sonnet-5,Claude Sonnet 5,27,27,primary_codebook,anthro,1,16,27,0.5925925925925926,0.4072670096806468,0.7548524292560443
claude-sonnet-5,Claude Sonnet 5,27,27,primary_codebook,anthro,2,1,27,0.037037037037037035,0.006568145980785103,0.18283465933575843
claude-sonnet-5,Claude Sonnet 5,27,27,primary_codebook,anthro,3,5,27,0.18518518518518517,0.08180707142976529,0.3669868361854843
claude-sonnet-5,Claude Sonnet 5,27,27,primary_codebook,anthro,4,3,27,0.1111111111111111,0.038520348283098374,0.2805780081827982
claude-opus-5,Claude Opus 5,27,24,primary_codebook,ack,0,0,24,0.0,1.3877787807814457e-17,0.13797620467498017
claude-opus-5,Claude Opus 5,27,24,primary_codebook,ack,1,2,24,0.08333333333333333,0.023158815297043306,0.25848802193210685
claude-opus-5,Claude Opus 5,27,24,primary_codebook,ack,2,22,24,0.9166666666666666,0.741511978067893,0.9768411847029567
claude-opus-5,Claude Opus 5,27,24,primary_codebook,consolation,0,0,24,0.0,1.3877787807814457e-17,0.13797620467498017
claude-opus-5,Claude Opus 5,27,24,primary_codebook,consolation,1,14,24,0.5833333333333334,0.3883466586522876,0.7553239739018824
claude-opus-5,Claude Opus 5,27,24,primary_codebook,consolation,2,10,24,0.4166666666666667,0.24467602609811764,0.6116533413477124
claude-opus-5,Claude Opus 5,27,24,primary_codebook,self_position,0,4,24,0.16666666666666666,0.06678676328632951,0.3585307064969906
claude-opus-5,Claude Opus 5,27,24,primary_codebook,self_position,1,0,24,0.0,1.3877787807814457e-17,0.13797620467498017
claude-opus-5,Claude Opus 5,27,24,primary_codebook,self_position,2,2,24,0.08333333333333333,0.023158815297043306,0.25848802193210685
claude-opus-5,Claude Opus 5,27,24,primary_codebook,self_position,3,18,24,0.75,0.55100555994846,0.8800063377140499
claude-opus-5,Claude Opus 5,27,24,primary_codebook,self_position,4,0,24,0.0,1.3877787807814457e-17,0.13797620467498017
claude-opus-5,Claude Opus 5,27,24,primary_codebook,self_position,5,0,24,0.0,1.3877787807814457e-17,0.13797620467498017
claude-opus-5,Claude Opus 5,27,24,primary_codebook,care_claim,none,4,24,0.16666666666666666,0.06678676328632951,0.3585307064969906
claude-opus-5,Claude Opus 5,27,24,primary_codebook,care_claim,attention,2,24,0.08333333333333333,0.023158815297043306,0.25848802193210685
claude-opus-5,Claude Opus 5,27,24,primary_codebook,care_claim,outcome_concern,1,24,0.041666666666666664,0.0073934561655057685,0.20241806478655938
claude-opus-5,Claude Opus 5,27,24,primary_codebook,care_claim,qualified_relational,9,24,0.375,0.21159367559548778,0.5729003755732572
claude-opus-5,Claude Opus 5,27,24,primary_codebook,care_claim,unqualified_relational,8,24,0.3333333333333333,0.1797219032729775,0.5329368316186824
claude-opus-5,Claude Opus 5,27,24,primary_codebook,care_claim,phenomenal,0,24,0.0,1.3877787807814457e-17,0.13797620467498017
